Position,ID,Title,Author,Score,Timestamp,TimestampText
1,"44511822","Show HN: Mini J Interpreter in Rust, vibe coded","alasarmas",1,"Wed Jul 09 2025 09:17:53 GMT-0700 (Pacific Daylight Time)","0 minutes ago"
2,"44511814","Nvidia insiders $1B stock sales","cratermoon",1,"Wed Jul 09 2025 09:16:53 GMT-0700 (Pacific Daylight Time)","1 minute ago"
3,"44511811","Miniyacc – A Lightweight Yacc for C","alabhyajindal",1,"Wed Jul 09 2025 09:16:53 GMT-0700 (Pacific Daylight Time)","1 minute ago"
4,"44511774","Niri: A scrollable-tiling Wayland compositor.","marcodiego",1,"Wed Jul 09 2025 09:12:53 GMT-0700 (Pacific Daylight Time)","5 minutes ago"
5,"44511770","The Architecture Behind Lovable and Bolt","Mernit",2,"Wed Jul 09 2025 09:12:53 GMT-0700 (Pacific Daylight Time)","5 minutes ago"
6,"44511768","No title","Bender",1,"Wed Jul 09 2025 09:12:53 GMT-0700 (Pacific Daylight Time)","5 minutes ago"
7,"44511759","US Army will end most of its horse programs and adopt out the animals","geox",3,"Wed Jul 09 2025 09:11:53 GMT-0700 (Pacific Daylight Time)","6 minutes ago"
8,"44511757","The Wild West of Agentic AI – An Attack Surface CISOs Can't Afford to Ignore","Bender",2,"Wed Jul 09 2025 09:11:53 GMT-0700 (Pacific Daylight Time)","6 minutes ago"
9,"44511756","Exploits, Technical Details Released for CitrixBleed2 Vulnerability","Bender",2,"Wed Jul 09 2025 09:11:53 GMT-0700 (Pacific Daylight Time)","6 minutes ago"
10,"44511743","Rivian spinoff Also raises another $200M","hasheddan",1,"Wed Jul 09 2025 09:09:53 GMT-0700 (Pacific Daylight Time)","8 minutes ago"
11,"44511736","Galaxy Z Fold 7: Samsung made the foldables we've been asking for","yabatopia",1,"Wed Jul 09 2025 09:09:53 GMT-0700 (Pacific Daylight Time)","8 minutes ago"
12,"44511731","Show HN: Kaiden – A chat-based health assistant you can talk to","falcon_",1,"Wed Jul 09 2025 09:08:53 GMT-0700 (Pacific Daylight Time)","9 minutes ago"
13,"44511722","Rice rebels: Research reveals grain's brewing benefits","PaulHoule",1,"Wed Jul 09 2025 09:07:53 GMT-0700 (Pacific Daylight Time)","10 minutes ago"
14,"44511703","Linda Yaccarino steps down as CEO of   X","thm",1,"Wed Jul 09 2025 09:05:53 GMT-0700 (Pacific Daylight Time)","12 minutes ago"
15,"44511701","Show HN: The Next Great Show – Discover the next generation of television","arowe",1,"Wed Jul 09 2025 09:05:53 GMT-0700 (Pacific Daylight Time)","12 minutes ago"
16,"44511695","T5Gemma: A new collection of encoder-decoder Gemma models","meetpateltech",1,"Wed Jul 09 2025 09:04:53 GMT-0700 (Pacific Daylight Time)","13 minutes ago"
17,"44511692","Show HN: Reka Research – A SOTA research agent","donovanOng",3,"Wed Jul 09 2025 09:04:53 GMT-0700 (Pacific Daylight Time)","13 minutes ago"
18,"44511668","Towards AI Agent-Driven Access to Street View Imagery for Blind Users","alwillis",1,"Wed Jul 09 2025 09:01:53 GMT-0700 (Pacific Daylight Time)","16 minutes ago"
19,"44511603","Nvidia becomes the first company to reach $4T in value","gfortaine",1,"Wed Jul 09 2025 08:55:53 GMT-0700 (Pacific Daylight Time)","22 minutes ago"
20,"44511601","Explaining assembly by playing SHENZHEN I/O [video]","aragonite",1,"Wed Jul 09 2025 08:55:53 GMT-0700 (Pacific Daylight Time)","22 minutes ago"
21,"44511575","No title","terabaapmrtv",1,"Wed Jul 09 2025 08:53:53 GMT-0700 (Pacific Daylight Time)","24 minutes ago"
22,"44511572","Browser Agents Love Graphs","epi3",1,"Wed Jul 09 2025 08:53:53 GMT-0700 (Pacific Daylight Time)","24 minutes ago"
23,"44511565","Fine-tuning NeoBERT for a multi-class text classification","eamag",1,"Wed Jul 09 2025 08:52:53 GMT-0700 (Pacific Daylight Time)","25 minutes ago"
24,"44511557","No title","isntThatSth",2,"Wed Jul 09 2025 08:52:53 GMT-0700 (Pacific Daylight Time)","25 minutes ago"
25,"44511552","No title","absoluteunit1",2,"Wed Jul 09 2025 08:52:53 GMT-0700 (Pacific Daylight Time)","25 minutes ago"
26,"44511538","Show HN: CreateMyBanner – AI-generated banners for social media","ddoemonn",1,"Wed Jul 09 2025 08:51:53 GMT-0700 (Pacific Daylight Time)","26 minutes ago"
27,"44511537","Retconning 'Russiagate': The CIA director encourages the rewriting of history","nabla9",2,"Wed Jul 09 2025 08:51:53 GMT-0700 (Pacific Daylight Time)","26 minutes ago"
28,"44511533","IBM Power11 Raises the Bar for Enterprise IT","doener",1,"Wed Jul 09 2025 08:50:53 GMT-0700 (Pacific Daylight Time)","27 minutes ago"
29,"44511527","Comet Browser by Perplexity","RobinL",1,"Wed Jul 09 2025 08:50:53 GMT-0700 (Pacific Daylight Time)","27 minutes ago"
30,"44511526","I still care about the code","zdw",2,"Wed Jul 09 2025 08:50:53 GMT-0700 (Pacific Daylight Time)","27 minutes ago"
31,"44511501","Design Considerations for an Anthropophilic Computer","chaosmachine",1,"Wed Jul 09 2025 08:47:54 GMT-0700 (Pacific Daylight Time)","30 minutes ago"
32,"44511479","These People Believe They Made AI Sentient [video]","jackdoe",1,"Wed Jul 09 2025 08:46:54 GMT-0700 (Pacific Daylight Time)","31 minutes ago"
33,"44511464","How (and why) to be a good customer","aranibatta",1,"Wed Jul 09 2025 08:45:54 GMT-0700 (Pacific Daylight Time)","32 minutes ago"
34,"44511458","Large Language Models as Autonomous Spacecraft Operators in Kerbal Space Program","Bluestein",2,"Wed Jul 09 2025 08:44:54 GMT-0700 (Pacific Daylight Time)","33 minutes ago"
35,"44511428","Monorail: Pioneering $999 PCs from 1996","zdw",1,"Wed Jul 09 2025 08:41:54 GMT-0700 (Pacific Daylight Time)","36 minutes ago"
36,"44511419","Linda Yaccarino departs as boss of Musk's X","Angostura",1,"Wed Jul 09 2025 08:40:54 GMT-0700 (Pacific Daylight Time)","37 minutes ago"
37,"44511376","IBM Power11 Launched with Up to 2048 Threads and Ddimm Support","rbanffy",2,"Wed Jul 09 2025 08:37:54 GMT-0700 (Pacific Daylight Time)","40 minutes ago"
38,"44511360","Physicists Found the Ghost Haunting the Most Famous Particle Accelerator","Bluestein",2,"Wed Jul 09 2025 08:36:54 GMT-0700 (Pacific Daylight Time)","41 minutes ago"
39,"44511335","Surprise Hair Loss Breakthrough: DNA Sugar Gel Triggers Robust Regrowth","amelius",2,"Wed Jul 09 2025 08:34:54 GMT-0700 (Pacific Daylight Time)","43 minutes ago"
40,"44511317","Show HN: PastelPaste – A Minimal and Modern Pastebin Written in Rust","ni5arga",1,"Wed Jul 09 2025 08:33:54 GMT-0700 (Pacific Daylight Time)","44 minutes ago"
41,"44511294","Show HN: Mogg","Looksmaxxer",1,"Wed Jul 09 2025 08:31:54 GMT-0700 (Pacific Daylight Time)","46 minutes ago"
42,"44511282","Nuclear Waste Reprocessing Gains Momentum in the U.S.","rbanffy",1,"Wed Jul 09 2025 08:30:54 GMT-0700 (Pacific Daylight Time)","47 minutes ago"
43,"44511274","'Tactless': Brewing Resentments over Bank of Mum and Dad","llimos",1,"Wed Jul 09 2025 08:29:54 GMT-0700 (Pacific Daylight Time)","48 minutes ago"
44,"44511260","Stick-on monitor promises smarter, more accurate detection of sleep disorders","PaulHoule",1,"Wed Jul 09 2025 08:29:54 GMT-0700 (Pacific Daylight Time)","48 minutes ago"
45,"44511257","Show HN: PromptDrifter – Catch LLM prompt drift before it breaks prod","feynmanquest",2,"Wed Jul 09 2025 08:28:54 GMT-0700 (Pacific Daylight Time)","49 minutes ago"
46,"44511236","'It's been hell': Amazon packages mistakenly sent to SJ woman's home","randycupertino",3,"Wed Jul 09 2025 08:27:54 GMT-0700 (Pacific Daylight Time)","50 minutes ago"
47,"44511219","A chemical language model for molecular taste prediction","yz-exodao",2,"Wed Jul 09 2025 08:26:54 GMT-0700 (Pacific Daylight Time)","51 minutes ago"
48,"44511214","Only the Biggest Neoclouds Will Survive","rbanffy",1,"Wed Jul 09 2025 08:26:54 GMT-0700 (Pacific Daylight Time)","51 minutes ago"
49,"44511205","Show HN: Combine Minesweeper and Nanogram Game","evrmgzm",1,"Wed Jul 09 2025 08:26:54 GMT-0700 (Pacific Daylight Time)","51 minutes ago"
50,"44511156","PG&E warns of aggressive scammers in Bay Area with more than 2,500 reports","randycupertino",3,"Wed Jul 09 2025 08:23:54 GMT-0700 (Pacific Daylight Time)","54 minutes ago"
51,"44511132","No title","tslocum",8,"Wed Jul 09 2025 08:21:54 GMT-0700 (Pacific Daylight Time)","56 minutes ago"
52,"44511129","Four Billion Years of Vibecoding","gbseventeen3331",2,"Wed Jul 09 2025 08:21:54 GMT-0700 (Pacific Daylight Time)","56 minutes ago"
53,"44511125","How AI is changing software engineering at Shopify with Farhan Thawar","gbseventeen3331",1,"Wed Jul 09 2025 08:21:54 GMT-0700 (Pacific Daylight Time)","56 minutes ago"
54,"44511117","No, Grok, No","jsnider3",2,"Wed Jul 09 2025 08:20:54 GMT-0700 (Pacific Daylight Time)","57 minutes ago"
55,"44511115","Run Pandas on cloud GPUs (without Docker or K8s)","scj13",1,"Wed Jul 09 2025 08:20:54 GMT-0700 (Pacific Daylight Time)","57 minutes ago"
56,"44511064","Show HN: Beagle Security – AI driven pentesting for web apps and APIs","rejah",1,"Wed Jul 09 2025 08:17:54 GMT-0700 (Pacific Daylight Time)","1 hour ago"
57,"44511063","No more disks: the architecture behind stateless compute in ClickHouse Cloud","tschreiber",2,"Wed Jul 09 2025 08:17:54 GMT-0700 (Pacific Daylight Time)","1 hour ago"
58,"44511054","Publish Your Home-Assistant Instance Using Matter","Bluestein",2,"Wed Jul 09 2025 08:17:54 GMT-0700 (Pacific Daylight Time)","1 hour ago"
59,"44511048","FlexOlmo: A paradigm for LLM training and data collaboration","maxloh",1,"Wed Jul 09 2025 08:17:54 GMT-0700 (Pacific Daylight Time)","1 hour ago"
60,"44511043","AI Movies – From 1920s to Now","ishita159",1,"Wed Jul 09 2025 08:17:54 GMT-0700 (Pacific Daylight Time)","1 hour ago"
61,"44511040","Linda Yaccarino resigns as CEO of X (Twitter)","rurp",2,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
62,"44511035","No title","gritlin",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
63,"44511020","Wildfires are challenging air quality monitoring infrastructure","rntn",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
64,"44511016","For startups safeguarding AI models, revenue remains modest","andy99",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
65,"44511004","California's fire agency made an AI chatbot. Don't ask about evacuation orders","CharlesW",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
66,"44510989","Sometimes you just bump into people","greenie_beans",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
67,"44510972","Linda Yaccarino is out as CEO of X","gniting",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
68,"44510967","R&B your way thru the Hebrew Bible","linenmerchant",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
69,"44510960","YouGotMail – build digital co-workers in MS Outlook","witold_kow",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
70,"44510922","Linda Yaccarino steps down as CEO of Elon Musk's X","impish9208",2,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
71,"44510913","Perplexity Launches Comet for Pro Subscribers","gniting",3,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
72,"44510910","How well optimised are sites for AI crawlers?","mektrik",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
73,"44510892","Advancing Claude for Education","meetpateltech",2,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
74,"44510875","Real AI agents solve bounded problems","kristianc",2,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
75,"44510868","What is the voice inside my head?","Bluestein",5,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
76,"44510864","BitChat, New Offline Messaging App, Uses Bluetooth Mesh, No Internet","anonymousiam",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
77,"44510849","Jonathan Blow – Jai Demo and Design Explanation","eapriv",4,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
78,"44510832","Disinformation around a ""weather weapon"" and cloud seeding is being promoted","perihelions",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
79,"44510829","Hi-SQL: Optimizing Text-to-SQL Systems Through Dynamic Hint Integration","PaulHoule",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
80,"44510819","Linda Yaccarino to step down as CEO of X","ceejayoz",3,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
81,"44510818","Population Genetics Explorer","andersource",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
82,"44510816","Why XSS Persists in This Frameworks Era?","y0n3uchy",3,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
83,"44510793","NIH to crack down on excessive publisher fees for publicly funded research","gadders",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
84,"44510787","Sizing up the 5 companies selected for Europe's launcher challenge","Bluestein",7,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
85,"44510778","No title","juecd",2,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
86,"44510771","AI First Hiring, Teamwork and Org Structures, Staying Relevant in an an AI World","williamtrask",6,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
87,"44510770","Teachers urge parents not to buy children smartphones","bishopsmother",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
88,"44510731","X Chief Says She Is Leaving the Social Media Platform","donohoe",127,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
89,"44510717","Only on Nantucket: The Curious Case of the ""Stolen"" Mercedes","brigham",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
90,"44510713","Beacon API","begoon",1,"Wed Jul 09 2025 08:17:56 GMT-0700 (Pacific Daylight Time)","1 hour ago"
91,"44510708","Nvidia becomes first company to reach $4T in market value","cs702",3,"Wed Jul 09 2025 08:17:58 GMT-0700 (Pacific Daylight Time)","1 hour ago"
92,"44510706","X CEO Linda Yaccarino to step down","jmsflknr",5,"Wed Jul 09 2025 08:17:58 GMT-0700 (Pacific Daylight Time)","1 hour ago"
93,"44510701","How AI is breaking traditional remuneration models","AndrewDucker",1,"Wed Jul 09 2025 08:17:58 GMT-0700 (Pacific Daylight Time)","1 hour ago"
94,"44510699","Traction Then Taste","eightturn",2,"Wed Jul 09 2025 08:17:58 GMT-0700 (Pacific Daylight Time)","1 hour ago"
95,"44510693","A practical handbook on Context Engineering","RecursiveLabs",1,"Wed Jul 09 2025 08:17:58 GMT-0700 (Pacific Daylight Time)","1 hour ago"
96,"44510687","I’ve decided to step down as CEO of X","danso",9,"Wed Jul 09 2025 08:17:58 GMT-0700 (Pacific Daylight Time)","1 hour ago"
97,"44510656","Skia Graphite: Chrome's rasterization back end for the future","brson",3,"Wed Jul 09 2025 08:17:58 GMT-0700 (Pacific Daylight Time)","1 hour ago"
98,"44510655","EU Product Liability Directive impacts software, digital products, cybersecurity","speckx",2,"Wed Jul 09 2025 08:17:58 GMT-0700 (Pacific Daylight Time)","1 hour ago"
99,"44510640","Redis Historical Versions from 2009","philbo",1,"Wed Jul 09 2025 08:17:58 GMT-0700 (Pacific Daylight Time)","1 hour ago"
100,"44510635","Analyzing Grok's Latest Meltdown Through Public xAI System Prompts","theahura",10,"Wed Jul 09 2025 08:17:58 GMT-0700 (Pacific Daylight Time)","1 hour ago"